enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,5-year_rore_%,wacc_%,effective_interest_rate_on_debt_%,net_interest_margin_(bank_only)_%,net_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,asset_turnover,dividend_payout_ratio,capex-to-revenue,capex-to-operating-cash-flow
85,1994,19.683,8.91,1.371,19.684,1.371,11.84,10.18,10.59,6.64,16.679,4.545,3.533,0.07,0.248,0.93,0.082,0.369,0.054,0.543
85,1995,21.589,9.95,1.454,21.589,1.454,17.96,10.1,10.73,6.25,18.019,59.475,4.429,0.065,0.287,0.935,0.081,0.34,0.06,0.091
85,1996,20.877,9,1.455,20.877,1.455,18.4,10.11,12.48,6.33,18.681,-73.278,4.18,0.074,0.308,0.926,0.078,0.358,0.041,0
85,1997,39.169,14.35,2.926,39.169,2.926,16.27,13.3,21.55,14.17,17.15,29.684,3.406,0.076,0.258,0.924,0.171,0.457,0.022,0.07
85,1998,19.34,12.72,1.88,31.153,1.952,13.55,12.98,18.81,8.59,17.448,16.84,1.619,0.107,0.172,0.893,0.108,0.463,0.005,0.027
85,1999,9.621,2.97,1.005,18.086,1.056,-1.28,11.23,14.81,5.99,12.648,-29.078,1.753,0.103,0.18,0.897,0.079,0.621,0.019,0
85,2000,17.979,6.44,1.809,30.73,1.888,20.09,11.32,12.13,5.68,22.177,89.437,2.494,0.099,0.247,0.901,0.082,0.409,0.005,0.006
85,2001,15.989,4.39,1.568,26.376,1.631,19.37,9.6,12.94,5.34,20.428,37.396,2.34,0.097,0.227,0.903,0.077,0.576,0,0
85,2002,12.703,4.67,1.176,20.878,1.221,9.33,6.88,9.75,5.2,16.258,-48.196,2.804,0.088,0.248,0.912,0.072,0.508,0,0
85,2003,18.89,7.18,1.655,34.087,1.722,30.93,4.55,4.97,5.4,21.522,-61.222,2.759,0.087,0.24,0.913,0.077,0.331,0,0
85,2004,19.146,6.53,1.683,39.174,1.762,16.72,4.41,3.97,5.15,21.847,109.884,2.562,0.089,0.228,0.911,0.077,0.411,0,0
85,2005,19.393,6.93,1.72,39.925,1.802,19.73,4.54,4.15,4.85,23.644,21.861,2.523,0.089,0.223,0.911,0.073,0.453,0,0
85,2006,19.537,7.49,1.687,42.776,1.77,25.5,6.43,8.33,4.77,23.648,-36.947,2.057,0.084,0.174,0.916,0.071,0.447,0,0
85,2007,19.474,7.38,1.747,49.895,1.849,15.25,7.28,14.3,5,24.09,80.039,1.927,0.095,0.183,0.905,0.073,0.438,0,0
85,2008,17.245,8.17,1.524,48.675,1.616,9.19,7.92,13.03,4.77,20.843,24.022,2.726,0.083,0.226,0.917,0.073,0.496,0,0
85,2009,3.619,1.97,0.282,8.659,0.295,-27.14,4.08,4.41,3.16,6.227,-11.231,3.159,0.076,0.239,0.922,0.045,1.86,0,0
85,2010,11.642,8.62,0.962,24.138,1.005,-10.31,5.8,3.76,4.3,13.87,32.331,1.94,0.09,0.174,0.908,0.069,0.28,0,0
85,2011,10.38,7.47,0.988,18.741,1.032,-4.89,6.54,4.11,4.21,14.642,22.234,1.38,0.1,0.139,0.898,0.067,0.081,0,0
85,2012,11.903,10.53,1.234,18.986,1.284,6.84,7.51,4.18,3.87,19.97,17.196,1.023,0.107,0.109,0.892,0.062,0.145,0,0
85,2013,12.691,10.23,1.381,18.516,1.43,32.39,5.54,3.52,3.63,22.337,69.195,0.949,0.111,0.105,0.888,0.062,0.232,0,0
85,2014,13.353,8.61,1.485,18.708,1.534,19.24,5.78,2.68,3.29,26.581,70.031,1.003,0.112,0.112,0.888,0.056,0.295,0,0
85,2015,13.007,7.56,1.436,17.585,1.479,15.13,5.11,2.19,3.04,28.13,21.385,1.065,0.109,0.116,0.89,0.051,0.33,0,0
85,2016,12.133,7.49,1.318,15.741,1.351,10.11,4.93,1.94,2.92,27.311,18.972,1.109,0.108,0.12,0.892,0.048,0.359,0,0
85,2017,11.176,7.07,1.18,14.32,1.208,4.77,5.09,2.42,2.89,24.854,1.142,1.372,0.103,0.142,0.896,0.047,0.38,0,0
85,2018,10.914,6.7,1.143,13.886,1.169,1.59,5.99,3.64,3.04,25.097,21.065,1.158,0.106,0.123,0.893,0.046,0.376,0,0
85,2019,11.11,9.11,1.164,14.137,1.191,1.37,7.45,6.08,3.24,25.915,41.747,1.236,0.103,0.128,0.896,0.045,0.384,0,0
85,2020,10.287,7.68,1.031,13.122,1.054,-1.04,7.38,7.81,3,22.705,7.751,1.284,0.097,0.125,0.902,0.045,0.469,0,0
85,2021,1.816,2.39,0.174,2.267,0.177,-41.03,5.17,3.42,2.57,4.547,2.762,1.222,0.095,0.116,0.905,0.038,1.755,0,0
85,2022,11.576,10.43,1.105,14.151,1.124,7.89,5.48,1.96,2.34,27.453,-14.683,0.927,0.096,0.089,0.902,0.04,0.121,0,0
85,2023,7.174,7.25,0.689,8.844,0.701,-10.58,7.56,4.91,2.92,17.865,36.658,1.086,0.096,0.104,0.903,0.039,0.35,0,0
