enterprise_id,years,roe_%,roe_%_adjusted_to_book_value,roa_%,return-on-tangible-equity,return-on-tangible-asset,5-year_rore_%,wacc_%,effective_interest_rate_on_debt_%,net_interest_margin_(bank_only)_%,net_margin_%,fcf_margin_%,debt-to-equity,equity-to-asset,debt-to-asset,liabilities-to-assets,asset_turnover,dividend_payout_ratio,capex-to-revenue,capex-to-operating-cash-flow
33,1994,20.584,N/A,0.909,20.584,0.909,0,0,0,0,0,-,0.556,0.045,0.025,0.947,0,0.189,0,0.025
33,1995,20.926,N/A,1.032,20.926,1.032,0,0,0,0,0,-,0.483,0.054,0.026,0.938,0,0.187,0,0
33,1996,20.26,9.21,1.143,20.26,1.143,0,0,0,0,0,-,0.414,0.059,0.024,0.932,0,0,0,0.127
33,1997,25.313,9.97,1.564,25.313,1.564,0,0,85.71,3.91,344.411,680.239,0.973,0.064,0.062,0.927,0.005,0.175,0.65,0.087
33,1998,23.08,8.18,1.397,23.08,1.397,0,0,58.31,3.63,282.357,482.89,1.325,0.057,0.076,0.935,0.005,0,0.628,0.115
33,1999,19.753,11.83,1.125,19.82,1.126,0,0,0,0,0,-,0.396,0.057,0.022,0.937,0,0,0,0.11
33,2000,16.821,7.07,0.973,18.946,0.979,0,17.97,0,0,0,-,0.462,0.059,0.027,0.935,0,0.159,0,0.043
33,2001,15.667,6.81,0.99,21.423,1.007,0,14,0,0,0,-,0.356,0.068,0.024,0.922,0,0.36,0,0.087
33,2002,9.447,3.42,0.635,13.978,0.649,0,14.93,61.48,2.85,20.152,41.162,0.918,0.067,0.061,0.924,0.032,1.029,0.07,0.145
33,2003,12.63,5.54,0.857,18.605,0.876,0,8.81,27.39,3.38,22.906,42.991,1.018,0.069,0.07,0.922,0.037,0.861,0.063,0.128
33,2004,13.83,5.2,0.978,21.644,1.004,-22.05,7.36,12.6,4.44,21.037,39.193,2.347,0.072,0.169,0.917,0.047,0.947,0.047,0.108
33,2005,16.148,6.33,1.116,26.674,1.148,81.83,5.61,9.12,4.13,23.145,102.052,2.924,0.067,0.195,0.923,0.048,0.628,0.053,0.049
33,2006,16.949,7.53,1.084,27.356,1.111,82.77,5.86,11.57,3.77,24.738,5.388,2.673,0.062,0.164,0.935,0.044,0.616,0.061,0.532
33,2007,15.727,6.99,0.939,24.244,0.959,77.44,4.08,15.13,3.49,22.803,109.014,2.769,0.058,0.161,0.938,0.041,0.658,0.047,0.041
33,2008,16.179,9.14,0.908,23.993,0.925,35.47,6.19,17.38,3.33,22.184,101.3,2.559,0.054,0.139,0.942,0.041,0.655,0.043,0.04
33,2009,5.166,3.59,0.235,7.405,0.238,-49.1,2.38,16.57,3.6,6.768,31.033,2.78,0.037,0.103,0.96,0.035,1.176,0.049,0.137
33,2010,5.258,3.39,0.239,7.091,0.241,-55.49,4.68,8.72,3.55,7.652,5.171,1.791,0.054,0.097,0.943,0.031,1.112,0.039,0.429
33,2011,9.537,7.82,0.546,12.181,0.553,-46.29,5.89,8.05,3.28,16.675,65.931,1.623,0.06,0.098,0.937,0.033,0.493,0.047,0.067
33,2012,10.964,12.75,0.671,13.577,0.679,-38.95,3.87,9.58,3.4,20.358,92.942,1.428,0.062,0.089,0.935,0.033,0.359,0.037,0.039
33,2013,8.4,7.5,0.535,10.199,0.541,31.24,3.47,8.62,3.09,18.765,-15.361,1.227,0.065,0.08,0.932,0.028,0.967,0.031,0
33,2014,9.075,7.96,0.604,10.899,0.611,40.17,6.16,7.54,2.77,21.632,56.325,1.102,0.068,0.075,0.929,0.028,0.604,0.037,0.062
33,2015,7.353,7.74,0.516,8.696,0.522,8.18,11.16,8.4,2.72,18.402,-31.931,0.98,0.072,0.071,0.924,0.028,0.519,0.032,0
33,2016,7.137,8.7,0.536,8.277,0.542,-15.79,10.08,8.26,2.71,18.647,-4.585,0.894,0.078,0.07,0.918,0.029,0.511,0.03,0
33,2017,1.363,1.47,0.104,1.56,0.105,-113.79,6.71,7.55,2.5,4,107.95,0.943,0.074,0.07,0.923,0.026,0.914,0.033,0.03
33,2018,5.906,5.37,0.441,6.731,0.445,-145.14,7.76,7.63,2.26,16.958,-23.347,0.897,0.075,0.068,0.922,0.026,0.844,0.039,0
33,2019,7.292,8.29,0.54,8.353,0.546,-1858.82,11.03,9.54,2.3,21.574,46.318,1.235,0.073,0.09,0.924,0.025,0.737,0.048,0.094
33,2020,3.989,4.53,0.28,4.534,0.282,85.98,10.52,9.65,2.25,10.487,37.088,1.481,0.068,0.1,0.929,0.027,0.857,0.052,0.122
33,2021,2.749,5.09,0.184,3.078,0.185,-35.84,7.82,5.41,2,8.263,282.412,1.283,0.066,0.084,0.931,0.022,0,0.055,0.019
33,2022,7.052,11.19,0.468,7.871,0.472,26.03,7.18,4.08,1.9,21.664,156.829,1.128,0.067,0.076,0.93,0.022,0.305,0.055,0.034
33,2023,8.314,12.6,0.541,9.328,0.545,11.7,14.92,10.49,2.4,23.928,32.865,1.089,0.063,0.069,0.934,0.023,0.238,0.066,0.167
