enterprise_id,years,revenue_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
85,1994,2.911,0.465,0.434,0.545,0.132,0.289,2.618,0.16,2.761,2.761,10.788,6.09
85,1995,3.464,0.603,0.562,0.16,2.06,2.268,3.254,0.191,2.696,2.696,13.777,5.84
85,1996,3.804,0.68,0.629,-0.247,-2.787,-2.633,3.506,0.225,3.55,3.55,15.736,8.25
85,1997,8.817,0.68,0.576,2.334,2.617,2.813,4.998,0.263,3.984,3.984,14.005,10.88
85,1998,9.412,0.74,0.665,2.758,1.585,1.629,8.622,0.308,12.73,6.272,21.101,19.38
85,1999,4.695,0.585,0.564,1.189,-1.365,-1.278,3.872,0.35,6.173,3.382,11.067,19.97
85,2000,5.208,1.145,0.962,1.461,4.658,4.686,4.339,0.393,7.253,4.381,18.295,20.22
85,2001,5.702,1.16,0.781,0.979,2.133,2.133,4.951,0.45,7.646,4.588,18.071,27.84
85,2002,6.084,0.985,0.985,2.532,-2.932,-2.932,5.004,0.5,8.007,4.898,22.504,21.74
85,2003,7.348,1.58,1.66,1.049,-4.499,-4.499,5.389,0.55,8.917,4.436,24.809,23.44
85,2004,8.362,1.825,1.825,2.049,9.189,9.189,4.869,0.75,10.086,4.782,26,29.59
85,2005,8.657,2.05,2.051,0,1.892,1.892,3.807,0.93,11.093,5.432,28.19,31.08
85,2006,9.51,2.25,2.239,0,-3.514,-3.514,4.589,1,12.022,5.025,24.925,31.42
85,2007,10.25,2.47,2.467,7.494,8.204,8.204,4.45,1.08,13.452,4.792,26.137,35.56
85,2008,11.427,2.38,2.379,-0.189,2.745,2.745,4.476,1.18,14.309,4.88,39.374,30.19
85,2009,12.572,0.7,0.699,-8.452,-1.412,-1.412,5.607,1.3,15.988,3.174,73.866,29.48
85,2010,19.397,1.75,1.753,4.398,6.271,6.271,5.229,0.49,19.948,9.353,41.867,26.99
85,2011,16.042,2.21,2.465,1.348,3.567,3.567,3.049,0.2,22.37,12.601,33.149,30.99
85,2012,14.928,2.82,2.822,0,2.567,2.567,3.694,0.41,24.476,15.341,27.25,27.56
85,2013,15.809,3.36,3.359,0,10.939,10.939,4.151,0.78,27.471,18.812,28.403,34.18
85,2014,15.324,3.89,3.892,0,10.731,10.731,3.789,1.15,29.27,20.1,32.454,45.4
85,2015,15.395,4.1,4.096,8.253,3.292,3.292,3.785,1.35,31.948,23.418,37.988,54.82
85,2016,16.09,4.12,4.11,12.075,3.053,3.053,3.753,1.475,33.539,25.211,42.048,54.36
85,2017,17.279,3.99,3.984,15.511,0.197,0.197,4.132,1.515,34.894,26.168,54.571,55.11
85,2018,17.617,4.1,4.1,12.11,3.711,3.711,44.146,1.54,37.12,28.279,48.98,60.67
85,2019,17.859,4.28,4.275,0,7.456,7.456,37.825,1.64,37.752,28.354,52.912,46.08
85,2020,19.621,4.09,4.09,0,1.521,1.521,34.164,1.92,40.053,30.436,58.122,53.8
85,2021,17.963,0.43,0.695,0,0.496,0.496,63.854,1.22,39.465,31.223,54.437,30.18
85,2022,19.162,4.95,4.965,0,-2.814,-2.814,60.278,0.6,43.118,34.477,44.754,47.98
85,2023,19.23,3.14,3.141,0,7.049,7.049,41.514,1.1,41.849,32.51,50.966,41.29
