enterprise_id,years,revenue_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
16,1994,6.543,1.43,1.24,0,-2.43,2.05,8.424,0.41,9.017,7.755,22.359,12.25
16,1995,7.04,1.515,1.515,0,7.928,8.222,10.618,0.47,9.857,8.309,15.054,11.28
16,1996,7.736,1.76,1.76,0,-4.749,-4.471,8.108,0.645,10.564,9.304,20.544,17.41
16,1997,22.203,1.96,2.167,5.905,2.242,3.226,7.266,0.6,9.129,7.76,18.616,24.44
16,1998,8.787,1.805,1.872,4.088,0.155,0.411,25.856,0.685,30.804,18.311,42.778,30.41
16,1999,8.887,1.45,1.775,2.24,3.69,3.813,10.156,0.795,13.295,9.031,22.435,30.06
16,2000,9.256,2.24,2.336,3.416,3.299,3.431,9.488,0.925,13.222,9.051,32.228,25.09
16,2001,9.916,2.26,2.366,0.148,1.391,1.584,10.213,1.03,14.736,10.664,34.006,22.94
16,2002,10.813,2.09,2.36,-5.169,-4.207,-3.95,10.508,1.14,15.537,11.642,28.937,31.48
16,2003,11.218,2.955,2.955,-6.822,-4.135,-3.835,10.59,1.22,16.746,12.587,28.78,34.79
16,2004,12.813,3.565,3.565,7.248,7.954,8.023,12.19,1.44,16.628,12.338,40.878,40.27
16,2005,12.988,3.64,3.748,-1.681,-1.147,-0.921,10.188,1.7,24.515,12.39,43.585,46.99
16,2006,13.511,4.04,4.108,-1.991,-3.306,-3.005,10.712,1.9,21.782,10.736,46.704,46.15
16,2007,15.141,4.59,4.706,1.894,2.994,3.157,11.265,2.12,29.609,12.14,64.355,53.39
16,2008,14.064,3.29,3.356,-0.85,1.993,2.473,12.224,2.4,32.055,11.53,87.478,41.26
16,2009,15.717,0.54,0.724,-6.431,0.421,0.878,6.628,2.24,21.769,5.597,66.602,14.08
16,2010,14.185,-0.29,-0.061,9.395,16.496,16.786,16.825,0.04,22.454,8.8,58.732,15.06
16,2011,10.721,-0.37,0.574,4.062,8.33,8.431,13.372,0.04,20.99,11.177,50.41,13.34
16,2012,8.395,0.01,0.252,2.807,6.157,6.285,13.867,0.04,20.094,11.979,38.721,5.56
16,2013,7.496,0.25,0.502,-2.936,-1.481,-1.481,12.01,0.04,20.243,12.588,28.42,11.61
16,2014,7.487,0.9,0.9,6.316,8.032,8.077,13.488,0.04,20.708,13.11,27.915,15.57
16,2015,8.115,0.42,0.42,2.794,2.8,2.909,13.892,0.12,21.315,13.906,26.084,17.89
16,2016,7.384,1.31,1.31,2.358,2.527,2.527,16.098,0.2,22.533,15.152,25.516,16.83
16,2017,7.577,1.49,1.49,0.729,1.564,1.564,15.677,0.25,23.971,16.837,23.951,22.1
16,2018,8.083,1.56,1.56,-0.245,0.915,0.915,16.388,0.39,23.799,17.096,25.28,29.52
16,2019,8.891,2.61,2.61,3.35,3.861,3.861,19.122,0.54,25.131,18,25.812,24.64
16,2020,9.663,2.75,2.75,4.848,6.542,6.542,19.088,0.66,27.321,19.517,29.997,35.22
16,2021,9.723,1.87,1.87,0,4.319,4.319,44.737,0.72,28.716,20.745,32.628,30.31
16,2022,10.412,3.57,3.57,0,-0.84,-0.84,43.993,0.78,30.374,21.83,37.618,44.49
16,2023,11.625,3.19,3.19,0,-0.775,-0.775,29.695,0.86,30.612,21.981,37.879,33.12
