enterprise_id,years,revenue_per_share,earnings_per_share_(diluted),eps_without_nri,owner_earnings_per_share_(ttm),free_cash_flow_per_share,operating_cash_flow_per_share,cash_per_share,dividends_per_share,book_value_per_share,tangible_book_per_share,total_debt_per_share,month_end_stock_price
33,1994,0,1.543,1.491,0,9.166,9.401,15.39,0.282,7.932,7.932,4.408,0
33,1995,0,1.807,1.744,0,-1.466,-1.1,18.926,0.326,9.402,9.402,4.539,0
33,1996,0,2.11,2.107,1.59,2.375,2.721,21.892,0,11.402,11.402,4.718,25.08
33,1997,0.942,2.925,2.925,2.98,6.407,7.019,1.695,0.513,14.194,14.194,13.809,36
33,1998,1.183,3.018,3.018,2.78,5.712,6.455,1.613,0,14.754,14.754,19.552,41.67
33,1999,0,3.848,3.872,6.8,7.704,8.652,44.36,0,24.556,24.425,9.718,41
33,2000,0,4.582,4.652,19.26,17.495,18.291,34.988,0.739,30.038,24.157,13.867,71.38
33,2001,0,4.881,5.271,6.83,10.198,11.175,33.216,1.9,31.998,21.403,11.391,73.6
33,2002,11.459,2.309,2.309,4.68,4.717,5.517,2.881,2.375,21.606,14.823,19.832,59.71
33,2003,12.555,2.876,2.876,7.32,5.397,6.192,3.52,2.475,24.085,16.197,24.512,54.98
33,2004,17.191,3.616,3.616,9.72,6.737,7.554,3.046,3.425,29.607,18.221,69.476,78.82
33,2005,22,5.098,5.017,25.29,22.452,23.61,6.35,3.15,33.354,19.901,97.535,85.14
33,2006,23.779,5.882,5.604,-1.65,1.281,2.738,10.573,3.45,35.705,22.88,95.428,80.47
33,2007,26.651,6.056,5.771,34.79,29.053,30.305,11.304,3.8,40.797,26.739,112.956,91.65
33,2008,32.227,7.1,6.638,39.6,32.646,34.018,15.023,4.35,47.207,32.588,120.82,83.71
33,2009,30.951,2.05,3.955,-11.27,9.605,11.124,23.214,4.65,33.687,23.84,93.642,48.67
33,2010,23.215,1.7,1.529,0.19,1.2,2.1,23.209,1.7,36.85,28.235,66.009,57.09
33,2011,22.377,3.6,3.448,12.27,14.754,15.806,23.154,1.7,41.747,33.287,67.751,51.04
33,2012,23.019,4.55,5.43,15.18,21.394,22.253,44.195,1.95,44.416,36.291,63.433,38.1
33,2013,20.456,3.7,2.121,-3.68,-3.142,-2.506,47.452,2.05,47.424,39.345,58.172,53.07
33,2014,20.078,4.2,3.973,8.6,11.309,12.056,51.925,2.4,48.293,40.349,53.239,55.13
33,2015,19.517,3.45,4.718,-14.18,-6.232,-5.608,39.185,2.45,49.55,42.375,48.537,47.23
33,2016,18.577,3.2,4.889,-6.91,-0.852,-0.287,29.515,2.5,47.869,41.619,42.816,39.47
33,2017,15.615,0.35,2.79,11.21,16.856,17.374,36.752,2.55,43.43,38.144,40.964,40.18
33,2018,15.862,2.4,3.022,0.75,-3.703,-3.092,49.304,2.55,46.811,41.041,42.007,51.64
33,2019,15.921,3.15,3.461,5.41,7.374,8.136,45.515,2.55,46.481,40.402,57.383,41.11
33,2020,17.398,1.5,2.974,6.84,6.453,7.35,42.126,2.55,44.566,39.681,66,39.09
33,2021,15.631,0.95,1.469,49.8,44.143,45.01,80.695,0,48.223,43.204,61.88,25.91
33,2022,15.821,3.1,3.604,20.52,24.812,25.69,102.374,1.1,48.044,43.047,54.198,30.15
33,2023,16.765,3.7,5.67,-7.13,5.51,6.613,87.651,1.35,46.945,41.607,51.141,31.16
